,user_id,response
0,985088,"{'items': [{'tags': ['python', 'tensorflow', 'keras', 'tensorflow2.0', 'tf.keras'], 'owner': {'reputation': 4565, 'user_id': 985088}, 'is_answered': True, 'view_count': 1754, 'down_vote_count': 0, 'up_vote_count': 2, 'accepted_answer_id': 68404456, 'answer_count': 1, 'score': 2, 'last_activity_date': 1626417550, 'creation_date': 1608423585, 'question_id': 65375785, 'link': 'https://stackoverflow.com/questions/65375785/keras-what-is-a-shallow-structure'}, {'tags': ['tensorflow', 'tensorflow-serving'], 'owner': {'reputation': 4565, 'user_id': 985088}, 'is_answered': True, 'view_count': 500, 'down_vote_count': 0, 'up_vote_count': 3, 'answer_count': 2, 'score': 3, 'last_activity_date': 1572301383, 'creation_date': 1555384844, 'question_id': 55700083, 'link': 'https://stackoverflow.com/questions/55700083/tensorflow-savedmodel-file-size-increases-with-each-save'}, {'tags': ['tensorflow', 'tensorflow-serving', 'grpc-java'], 'owner': {'reputation': 4565, 'user_id': 985088}, 'is_answered': True, 'view_count': 2402, 'down_vote_count': 0, 'up_vote_count': 3, 'accepted_answer_id': 55722117, 'answer_count': 1, 'score': 3, 'last_activity_date': 1555705240, 'creation_date': 1555457337, 'question_id': 55717880, 'link': 'https://stackoverflow.com/questions/55717880/inferencing-with-tensorflow-serving-using-java'}, {'tags': ['python', 'tensorflow', 'neural-network'], 'owner': {'reputation': 4565, 'user_id': 985088}, 'is_answered': True, 'view_count': 202, 'down_vote_count': 0, 'up_vote_count': 1, 'accepted_answer_id': 55700106, 'answer_count': 1, 'score': 1, 'last_activity_date': 1555385037, 'creation_date': 1534464661, 'question_id': 51886844, 'link': 'https://stackoverflow.com/questions/51886844/tensorflow-raw-prediction-output-with-large-values'}, {'tags': ['android', 'c++', 'android-studio', 'tensorflow', 'bazel'], 'owner': {'reputation': 4565, 'user_id': 985088}, 'is_answered': True, 'view_count': 1558, 'down_vote_count': 0, 'up_vote_count': 0, 'accepted_answer_id': 46269290, 'answer_count': 2, 'score': 0, 'last_activity_date': 1505685809, 'creation_date': 1481854690, 'question_id': 41176321, 'link': 'https://stackoverflow.com/questions/41176321/tensorflow-android-studio-and-bazel-setting-up-a-new-project'}, {'tags': ['java', 'android', 'tensorflow', 'lstm'], 'owner': {'reputation': 4565, 'user_id': 985088}, 'is_answered': True, 'view_count': 596, 'down_vote_count': 0, 'up_vote_count': 1, 'accepted_answer_id': 44381902, 'answer_count': 2, 'score': 1, 'last_activity_date': 1496726511, 'creation_date': 1491067684, 'question_id': 43159921, 'link': 'https://stackoverflow.com/questions/43159921/tensorflow-initializing-state-for-rnn-between-inferences-in-android'}, {'tags': ['optimization', 'machine-learning', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 4565, 'user_id': 985088}, 'is_answered': True, 'view_count': 1299, 'down_vote_count': 0, 'up_vote_count': 3, 'accepted_answer_id': 43857303, 'answer_count': 2, 'score': 3, 'last_activity_date': 1495117376, 'creation_date': 1494273730, 'question_id': 43856384, 'link': 'https://stackoverflow.com/questions/43856384/tensorflow-picking-an-optimal-model-from-a-training-session'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8924}"
1,1538049,"{'items': [{'tags': ['python', 'tensorflow', 'cudnn'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': False, 'view_count': 1469, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 1, 'score': 0, 'last_activity_date': 1697784656, 'creation_date': 1675006816, 'question_id': 75276170, 'link': 'https://stackoverflow.com/questions/75276170/conda-cannot-see-cuda-version'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 446, 'down_vote_count': 0, 'up_vote_count': 2, 'answer_count': 2, 'score': 2, 'last_activity_date': 1615303579, 'creation_date': 1615290557, 'question_id': 66546321, 'link': 'https://stackoverflow.com/questions/66546321/proper-way-to-input-a-scalar-into-a-tensorflow-2-model'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': False, 'view_count': 117, 'down_vote_count': 0, 'up_vote_count': 3, 'answer_count': 0, 'score': 3, 'last_activity_date': 1611154562, 'creation_date': 1611117501, 'question_id': 65803167, 'link': 'https://stackoverflow.com/questions/65803167/tensorflow-2-gradienttape-returns-none'}, {'tags': ['python', 'machine-learning', 'tensorflow', 'neural-network'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': False, 'view_count': 231, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 0, 'score': 0, 'last_activity_date': 1590908453, 'creation_date': 1502304029, 'question_id': 45598351, 'link': 'https://stackoverflow.com/questions/45598351/tensorflow-initializing-all-variables-with-a-single-initializer-object'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 86, 'down_vote_count': 0, 'up_vote_count': 0, 'accepted_answer_id': 53710720, 'answer_count': 1, 'score': 0, 'last_activity_date': 1544463029, 'creation_date': 1544444889, 'question_id': 53705666, 'link': 'https://stackoverflow.com/questions/53705666/changing-the-current-graph-of-tf-placeholder-objects-in-tensorflow-is-it-possib'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': False, 'view_count': 376, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 0, 'score': 1, 'last_activity_date': 1544181155, 'creation_date': 1544181155, 'question_id': 53668381, 'link': 'https://stackoverflow.com/questions/53668381/tensorflow-tf-control-dependencies-does-not-work-as-expected'}, {'tags': ['python', 'tensorflow', 'conv-neural-network', 'zero-padding'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 2920, 'down_vote_count': 0, 'up_vote_count': 4, 'accepted_answer_id': 51135096, 'answer_count': 1, 'score': 4, 'last_activity_date': 1530532091, 'creation_date': 1530519785, 'question_id': 51131821, 'link': 'https://stackoverflow.com/questions/51131821/even-sized-kernels-with-same-padding-in-tensorflow'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 1341, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 2, 'score': 1, 'last_activity_date': 1527798474, 'creation_date': 1507552899, 'question_id': 46646736, 'link': 'https://stackoverflow.com/questions/46646736/applying-custom-learning-rates-to-variables-in-tensorflow'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': False, 'view_count': 1038, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 0, 'score': 1, 'last_activity_date': 1525088869, 'creation_date': 1525088869, 'question_id': 50099904, 'link': 'https://stackoverflow.com/questions/50099904/tensorflow-resnet-example-is-the-bottleneck-size-wrong'}, {'tags': ['python', 'machine-learning', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 1384, 'down_vote_count': 0, 'up_vote_count': 3, 'accepted_answer_id': 47203632, 'answer_count': 1, 'score': 3, 'last_activity_date': 1510245108, 'creation_date': 1510233874, 'question_id': 47203019, 'link': 'https://stackoverflow.com/questions/47203019/tensorflow-tf-assign-does-not-assign-anything'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 559, 'down_vote_count': 0, 'up_vote_count': 1, 'accepted_answer_id': 44990317, 'answer_count': 1, 'score': 1, 'last_activity_date': 1499544562, 'creation_date': 1499425669, 'question_id': 44969269, 'link': 'https://stackoverflow.com/questions/44969269/tensorflow-weird-broadcasting-behavior'}, {'tags': ['python', 'machine-learning', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 129, 'down_vote_count': 0, 'up_vote_count': 1, 'accepted_answer_id': 44813503, 'answer_count': 1, 'score': 1, 'last_activity_date': 1498688807, 'creation_date': 1498673485, 'question_id': 44809749, 'link': 'https://stackoverflow.com/questions/44809749/tensorflow-the-priority-of-value-assigning-operations'}, {'tags': ['python', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 197, 'down_vote_count': 0, 'up_vote_count': 2, 'accepted_answer_id': 44782891, 'answer_count': 2, 'score': 2, 'last_activity_date': 1498577543, 'creation_date': 1498572723, 'question_id': 44782544, 'link': 'https://stackoverflow.com/questions/44782544/tensorflow-invalid-calculations'}, {'tags': ['python', 'tensorflow', 'deep-learning', 'mxnet'], 'owner': {'reputation': 3579, 'user_id': 1538049}, 'is_answered': True, 'view_count': 464, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 1, 'score': 1, 'last_activity_date': 1497539346, 'creation_date': 1497530454, 'question_id': 44567799, 'link': 'https://stackoverflow.com/questions/44567799/is-conditional-computing-possible-with-tensorflow'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8924}"
2,11626498,"{'items': [{'tags': ['python', 'tensorflow', 'tf.keras'], 'owner': {'reputation': 33, 'user_id': 11626498}, 'is_answered': False, 'view_count': 251, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 0, 'score': 0, 'last_activity_date': 1636045804, 'creation_date': 1636045804, 'question_id': 69843239, 'link': 'https://stackoverflow.com/questions/69843239/how-does-tf-keras-util-array-to-image-work-with-regards-to-memory'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8922}"
3,9560068,"{'items': [{'tags': ['python', 'tensorflow', 'keras', 'pycharm'], 'owner': {'reputation': 5, 'user_id': 9560068}, 'is_answered': True, 'view_count': 94, 'down_vote_count': 0, 'up_vote_count': 0, 'accepted_answer_id': 57851715, 'answer_count': 2, 'score': 0, 'last_activity_date': 1568023100, 'creation_date': 1567874191, 'question_id': 57835609, 'link': 'https://stackoverflow.com/questions/57835609/pycharm-says-taht-it-cant-find-tensorflow-keras-but-it-works'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8922}"
4,3760132,"{'items': [{'tags': ['python', 'sorting', 'tensorflow'], 'owner': {'reputation': 1821, 'user_id': 3760132}, 'is_answered': True, 'view_count': 1390, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 3, 'score': 1, 'last_activity_date': 1677562043, 'creation_date': 1525347971, 'question_id': 50154312, 'link': 'https://stackoverflow.com/questions/50154312/tensorflow-sort-a-tensor-with-a-custom-comparator'}, {'tags': ['python', 'machine-learning', 'tensorflow', 'classification', 'object-detection'], 'owner': {'reputation': 1821, 'user_id': 3760132}, 'is_answered': True, 'view_count': 9499, 'down_vote_count': 0, 'up_vote_count': 23, 'accepted_answer_id': 45115503, 'answer_count': 5, 'score': 23, 'last_activity_date': 1587449512, 'creation_date': 1499763789, 'question_id': 45029977, 'link': 'https://stackoverflow.com/questions/45029977/tensorflow-object-detection-api-weird-behavior'}, {'tags': ['python', 'tensorflow', 'neural-network', 'deep-learning'], 'owner': {'reputation': 1821, 'user_id': 3760132}, 'is_answered': False, 'view_count': 108, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 0, 'score': 1, 'last_activity_date': 1558637932, 'creation_date': 1510682306, 'question_id': 47292365, 'link': 'https://stackoverflow.com/questions/47292365/tensorflow-how-to-import-weights-from-sub-graph-of-computational-graph'}, {'tags': ['python', 'tensorflow', 'scope'], 'owner': {'reputation': 1821, 'user_id': 3760132}, 'is_answered': True, 'view_count': 1410, 'down_vote_count': 0, 'up_vote_count': 3, 'accepted_answer_id': 46563969, 'answer_count': 1, 'score': 3, 'last_activity_date': 1556064701, 'creation_date': 1507114239, 'question_id': 46563018, 'link': 'https://stackoverflow.com/questions/46563018/what-is-the-name-of-variable-which-is-declared-in-a-nested-variable-scope'}, {'tags': ['python', 'debugging', 'tensorflow', 'lstm'], 'owner': {'reputation': 1821, 'user_id': 3760132}, 'is_answered': False, 'view_count': 246, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 1, 'score': 0, 'last_activity_date': 1526904283, 'creation_date': 1526901720, 'question_id': 50447786, 'link': 'https://stackoverflow.com/questions/50447786/tensorflow-print-internal-state-of-rnn-at-at-every-time-step'}, {'tags': ['python', 'tensorflow', 'pipeline', 'tensorflow-datasets'], 'owner': {'reputation': 1821, 'user_id': 3760132}, 'is_answered': True, 'view_count': 5768, 'down_vote_count': 0, 'up_vote_count': 8, 'accepted_answer_id': 50337385, 'answer_count': 1, 'score': 8, 'last_activity_date': 1526343167, 'creation_date': 1526299455, 'question_id': 50329855, 'link': 'https://stackoverflow.com/questions/50329855/how-to-use-the-tensorflow-dataset-pipeline-for-variable-length-inputs'}, {'tags': ['python', 'tensorflow', 'object-detection'], 'owner': {'reputation': 1821, 'user_id': 3760132}, 'is_answered': False, 'view_count': 119, 'down_vote_count': 1, 'up_vote_count': 1, 'answer_count': 1, 'score': 0, 'last_activity_date': 1505008618, 'creation_date': 1504981663, 'question_id': 46133844, 'link': 'https://stackoverflow.com/questions/46133844/tensorflow-object-detection-api-incorrect-dimensionality-of-tensor-in-source-c'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8922}"
5,8648710,"{'items': [{'tags': ['python', 'tensorflow', 'keras', 'pytorch', 'tf.data.dataset'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 1180, 'down_vote_count': 1, 'up_vote_count': 1, 'answer_count': 1, 'score': 0, 'last_activity_date': 1689066836, 'creation_date': 1638383559, 'question_id': 70189513, 'link': 'https://stackoverflow.com/questions/70189513/convert-a-pytorch-dataloader-to-tf-dataset'}, {'tags': ['python', 'python-3.x', 'tensorflow', 'machine-learning', 'keras'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': False, 'view_count': 235, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 1, 'score': 0, 'last_activity_date': 1661761890, 'creation_date': 1576333952, 'question_id': 59336042, 'link': 'https://stackoverflow.com/questions/59336042/getting-valueerror-without-having-numpy-arrays'}, {'tags': ['json', 'python-3.x', 'tensorflow', 'deep-learning'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 1675, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 4, 'score': 1, 'last_activity_date': 1645598447, 'creation_date': 1570299282, 'question_id': 58251062, 'link': 'https://stackoverflow.com/questions/58251062/jsondecodeerror-expecting-value-line-1-column-2-char-1'}, {'tags': ['python-3.x', 'tensorflow', 'machine-learning', 'keras', 'tf.keras'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 128, 'down_vote_count': 3, 'up_vote_count': 3, 'accepted_answer_id': 59289703, 'answer_count': 2, 'score': 0, 'last_activity_date': 1631801194, 'creation_date': 1576079334, 'question_id': 59289451, 'link': 'https://stackoverflow.com/questions/59289451/function-not-working-syntax-errors-and-more'}, {'tags': ['python', 'tensorflow', 'keras'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 8216, 'down_vote_count': 0, 'up_vote_count': 11, 'accepted_answer_id': 66880334, 'answer_count': 2, 'score': 11, 'last_activity_date': 1617157649, 'creation_date': 1617147117, 'question_id': 66879748, 'link': 'https://stackoverflow.com/questions/66879748/what-is-the-difference-between-tf-keras-model-and-tf-keras-sequential'}, {'tags': ['python-3.x', 'tensorflow', 'memory-management', 'pytorch', 'out-of-memory'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 547, 'down_vote_count': 0, 'up_vote_count': 2, 'accepted_answer_id': 64856438, 'answer_count': 1, 'score': 2, 'last_activity_date': 1610299709, 'creation_date': 1605191308, 'question_id': 64805828, 'link': 'https://stackoverflow.com/questions/64805828/loading-a-model-checkpoint-in-lesser-amount-of-memory'}, {'tags': ['python-3.x', 'opencv', 'tensorflow', 'keras'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': False, 'view_count': 153, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 0, 'score': 0, 'last_activity_date': 1587996650, 'creation_date': 1580225106, 'question_id': 59951968, 'link': 'https://stackoverflow.com/questions/59951968/using-filters-with-keras-and-opencv'}, {'tags': ['python-3.x', 'tensorflow', 'keras', 'text-processing'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 5787, 'down_vote_count': 0, 'up_vote_count': 9, 'accepted_answer_id': 60949494, 'answer_count': 1, 'score': 9, 'last_activity_date': 1587299453, 'creation_date': 1585649907, 'question_id': 60948259, 'link': 'https://stackoverflow.com/questions/60948259/assertionerror-some-objects-had-attributes-which-were-not-restored'}, {'tags': ['tensorflow', 'reinforcement-learning', 'q-learning'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 47, 'down_vote_count': 0, 'up_vote_count': 1, 'accepted_answer_id': 60569835, 'answer_count': 1, 'score': 1, 'last_activity_date': 1583519917, 'creation_date': 1583505871, 'question_id': 60566382, 'link': 'https://stackoverflow.com/questions/60566382/maximum-q-values-in-practical-scenario'}, {'tags': ['python', 'tensorflow', 'keras', 'keras-rl'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': False, 'view_count': 128, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 0, 'score': 1, 'last_activity_date': 1582036850, 'creation_date': 1581950874, 'question_id': 60264947, 'link': 'https://stackoverflow.com/questions/60264947/using-an-environment-outside-gym-openai'}, {'tags': ['python', 'python-3.x', 'tensorflow', 'machine-learning'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': False, 'view_count': 96, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 0, 'score': 0, 'last_activity_date': 1577781737, 'creation_date': 1577202370, 'question_id': 59471003, 'link': 'https://stackoverflow.com/questions/59471003/cannot-reshape-non-existent-tensors'}, {'tags': ['python', 'tensorflow', 'machine-learning', 'neural-network', 'linear-regression'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': False, 'view_count': 223, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 1, 'score': 1, 'last_activity_date': 1576677471, 'creation_date': 1576602619, 'question_id': 59379025, 'link': 'https://stackoverflow.com/questions/59379025/valueerror-features-should-be-a-dictionary-of-tensors-given-type-class-no'}, {'tags': ['python', 'python-3.x', 'tensorflow', 'visual-studio-code', 'anaconda'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 10527, 'down_vote_count': 0, 'up_vote_count': 2, 'accepted_answer_id': 58682913, 'answer_count': 2, 'score': 2, 'last_activity_date': 1572803076, 'creation_date': 1572202068, 'question_id': 58582373, 'link': 'https://stackoverflow.com/questions/58582373/modulenotfounderror-no-module-named-tensorflow'}, {'tags': ['python-3.x', 'tensorflow', 'keras', 'deep-learning', 'recurrent-neural-network'], 'owner': {'reputation': 1158, 'user_id': 8648710}, 'is_answered': True, 'view_count': 727, 'down_vote_count': 0, 'up_vote_count': 0, 'accepted_answer_id': 58201260, 'answer_count': 1, 'score': 0, 'last_activity_date': 1570018279, 'creation_date': 1570016958, 'question_id': 58200902, 'link': 'https://stackoverflow.com/questions/58200902/valueerror-while-performing-binary-crossentropy-array-shapes-not-matching'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8922}"
6,14290952,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8918}"
7,10541065,"{'items': [{'tags': ['python', 'tensorflow', 'google-colaboratory'], 'owner': {'reputation': 23, 'user_id': 10541065}, 'is_answered': False, 'view_count': 1334, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 0, 'score': 1, 'last_activity_date': 1572896190, 'creation_date': 1572896190, 'question_id': 58699961, 'link': 'https://stackoverflow.com/questions/58699961/problem-of-predicting-with-a-loaded-tensorflow-estimator-trained-beforehand'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8918}"
8,12869645,"{'items': [{'tags': ['python', 'python-3.x', 'tensorflow', 'tensorflow-c++'], 'owner': {'reputation': 61, 'user_id': 12869645}, 'is_answered': False, 'view_count': 40, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 0, 'score': 0, 'last_activity_date': 1677011058, 'creation_date': 1677000614, 'question_id': 75523954, 'link': 'https://stackoverflow.com/questions/75523954/integrating-tensorflow-custom-op-to-a-python-package'}, {'tags': ['python', 'python-3.x', 'tensorflow', 'tensorflow2.0'], 'owner': {'reputation': 61, 'user_id': 12869645}, 'is_answered': True, 'view_count': 4021, 'down_vote_count': 0, 'up_vote_count': 2, 'accepted_answer_id': 61091830, 'answer_count': 2, 'score': 2, 'last_activity_date': 1671780493, 'creation_date': 1585506499, 'question_id': 60918910, 'link': 'https://stackoverflow.com/questions/60918910/runtimeerror-method-requires-being-in-cross-replica-context-use-get-replica-co'}, {'tags': ['python', 'python-3.x', 'tensorflow', 'pip', 'python-import'], 'owner': {'reputation': 61, 'user_id': 12869645}, 'is_answered': False, 'view_count': 90, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 0, 'score': 0, 'last_activity_date': 1663697646, 'creation_date': 1663697646, 'question_id': 73791015, 'link': 'https://stackoverflow.com/questions/73791015/fake-tensorflow-importable-even-when-uninstalled'}, {'tags': ['python', 'tensorflow', 'keras', 'tensorflow2.0'], 'owner': {'reputation': 61, 'user_id': 12869645}, 'is_answered': True, 'view_count': 381, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 1, 'score': 1, 'last_activity_date': 1629148696, 'creation_date': 1629148696, 'question_id': 68809330, 'link': 'https://stackoverflow.com/questions/68809330/what-happens-when-you-use-tensorflow-keras-layers-add-on-different-shapes'}, {'tags': ['python', 'python-3.x', 'tensorflow', 'keras', 'deep-learning'], 'owner': {'reputation': 61, 'user_id': 12869645}, 'is_answered': True, 'view_count': 799, 'down_vote_count': 0, 'up_vote_count': 0, 'accepted_answer_id': 60494928, 'answer_count': 1, 'score': 0, 'last_activity_date': 1583175098, 'creation_date': 1583174450, 'question_id': 60494789, 'link': 'https://stackoverflow.com/questions/60494789/valueerror-weights-can-not-be-broadcast-to-values-using-loss-function-from-kera'}, {'tags': ['python', 'tensorflow', 'tensorflow2.0', 'tensorflow-datasets'], 'owner': {'reputation': 61, 'user_id': 12869645}, 'is_answered': False, 'view_count': 1578, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 0, 'score': 1, 'last_activity_date': 1581364616, 'creation_date': 1581299634, 'question_id': 60143153, 'link': 'https://stackoverflow.com/questions/60143153/is-there-a-way-in-tensorflow-to-load-batches-of-data-each-time'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8918}"
9,6770703,"{'items': [{'tags': ['tensorflow'], 'owner': {'reputation': 791, 'user_id': 6770703}, 'is_answered': True, 'view_count': 4023, 'down_vote_count': 0, 'up_vote_count': 20, 'answer_count': 1, 'score': 20, 'last_activity_date': 1621303515, 'creation_date': 1482251331, 'question_id': 41246969, 'link': 'https://stackoverflow.com/questions/41246969/are-there-any-guidelines-on-sharding-a-data-set'}, {'tags': ['tensorflow'], 'owner': {'reputation': 791, 'user_id': 6770703}, 'is_answered': True, 'view_count': 279, 'down_vote_count': 0, 'up_vote_count': 1, 'answer_count': 1, 'score': 1, 'last_activity_date': 1538478844, 'creation_date': 1486730010, 'question_id': 42159518, 'link': 'https://stackoverflow.com/questions/42159518/how-to-include-the-so-of-custom-ops-in-the-pip-wheel-and-organize-the-sources-o'}, {'tags': ['tensorflow'], 'owner': {'reputation': 791, 'user_id': 6770703}, 'is_answered': False, 'view_count': 2645, 'down_vote_count': 0, 'up_vote_count': 7, 'answer_count': 1, 'score': 7, 'last_activity_date': 1527596599, 'creation_date': 1485530129, 'question_id': 41897212, 'link': 'https://stackoverflow.com/questions/41897212/how-to-sort-a-multi-dimensional-tensor-using-the-returned-indices-of-tf-nn-top-k'}, {'tags': ['tensorflow'], 'owner': {'reputation': 791, 'user_id': 6770703}, 'is_answered': False, 'view_count': 220, 'down_vote_count': 0, 'up_vote_count': 0, 'answer_count': 0, 'score': 0, 'last_activity_date': 1487525518, 'creation_date': 1487525518, 'question_id': 42330470, 'link': 'https://stackoverflow.com/questions/42330470/why-are-some-nodes-ignored-by-print-model-analysis-when-run-meta-is-provide'}, {'tags': ['tensorflow'], 'owner': {'reputation': 791, 'user_id': 6770703}, 'is_answered': True, 'view_count': 1546, 'down_vote_count': 0, 'up_vote_count': 2, 'accepted_answer_id': 41505125, 'answer_count': 2, 'score': 2, 'last_activity_date': 1483703555, 'creation_date': 1481597472, 'question_id': 41113004, 'link': 'https://stackoverflow.com/questions/41113004/what-is-the-effect-of-calling-tensorarray-close'}, {'tags': ['python', 'tensorflow'], 'owner': {'reputation': 791, 'user_id': 6770703}, 'is_answered': True, 'view_count': 86, 'down_vote_count': 0, 'up_vote_count': 2, 'accepted_answer_id': 41131225, 'answer_count': 2, 'score': 2, 'last_activity_date': 1481666065, 'creation_date': 1481645878, 'question_id': 41125728, 'link': 'https://stackoverflow.com/questions/41125728/when-should-tf-addt-0-be-used-instead-of-tensor-t-directly'}, {'tags': ['python', 'tensorflow'], 'owner': {'reputation': 791, 'user_id': 6770703}, 'is_answered': True, 'view_count': 925, 'down_vote_count': 0, 'up_vote_count': 1, 'accepted_answer_id': 40368563, 'answer_count': 1, 'score': 1, 'last_activity_date': 1478033996, 'creation_date': 1477935844, 'question_id': 40347592, 'link': 'https://stackoverflow.com/questions/40347592/can-we-see-the-send-nodes-and-the-receive-nodes-in-the-tensorflow-graphdef'}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 8918}"
