,user_id,response
0,985088,"{'items': [{'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 56, 'is_accepted': False, 'score': 56, 'creation_date': 1542849467, 'answer_id': 53422639}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 1, 'up_vote_count': 8, 'is_accepted': False, 'score': 7, 'creation_date': 1592271503, 'answer_id': 62399645}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1495839576, 'answer_id': 44211182}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1543472628, 'answer_id': 53532994}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': False, 'score': 2, 'creation_date': 1666558551, 'answer_id': 74174724}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1559526268, 'answer_id': 56420253}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1607206975, 'answer_id': 65162595}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': True, 'score': 0, 'creation_date': 1486626625, 'answer_id': 42130981}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': True, 'score': 0, 'creation_date': 1488089792, 'answer_id': 42465388}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': True, 'score': 0, 'creation_date': 1555385037, 'answer_id': 55700106}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1664943889, 'answer_id': 73955920}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9934}"
1,1538049,"{'items': [{'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 16, 'is_accepted': True, 'score': 16, 'creation_date': 1480874928, 'answer_id': 40961860}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 15, 'is_accepted': True, 'score': 15, 'creation_date': 1499866860, 'answer_id': 45059378}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 4, 'is_accepted': True, 'score': 4, 'creation_date': 1525152059, 'answer_id': 50111676}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': False, 'score': 2, 'creation_date': 1498501308, 'answer_id': 44766193}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1499863415, 'answer_id': 45058039}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1500800205, 'answer_id': 45263297}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': False, 'score': 2, 'creation_date': 1527749787, 'answer_id': 50618407}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': True, 'score': 1, 'creation_date': 1480763611, 'answer_id': 40947117}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1494870985, 'answer_id': 43985925}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1499504395, 'answer_id': 44984409}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1499862893, 'answer_id': 45057859}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1480871667, 'answer_id': 40961280}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1480888419, 'answer_id': 40964139}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1480890883, 'answer_id': 40964520}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1499361831, 'answer_id': 44955398}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 1, 'up_vote_count': 1, 'is_accepted': False, 'score': 0, 'creation_date': 1499505399, 'answer_id': 44984524}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1527862599, 'answer_id': 50645446}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1576084586, 'answer_id': 59290915}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9934}"
2,11626498,"{'items': [{'owner': {'reputation': 33, 'user_id': 11626498}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1641930448, 'answer_id': 70672590}, {'owner': {'reputation': 33, 'user_id': 11626498}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1664407704, 'answer_id': 73888801}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9934}"
3,9560068,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9934}"
4,3760132,"{'items': [{'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 1, 'up_vote_count': 20, 'is_accepted': True, 'score': 19, 'creation_date': 1459163496, 'answer_id': 36261144}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 16, 'is_accepted': True, 'score': 16, 'creation_date': 1500102485, 'answer_id': 45115503}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 12, 'is_accepted': False, 'score': 12, 'creation_date': 1459103520, 'answer_id': 36251049}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 4, 'is_accepted': True, 'score': 4, 'creation_date': 1459016075, 'answer_id': 36238987}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 4, 'is_accepted': False, 'score': 4, 'creation_date': 1459328381, 'answer_id': 36304128}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 4, 'is_accepted': False, 'score': 4, 'creation_date': 1459662094, 'answer_id': 36382025}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 3, 'is_accepted': True, 'score': 3, 'creation_date': 1500141134, 'answer_id': 45121149}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1459259568, 'answer_id': 36286401}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': False, 'score': 2, 'creation_date': 1480944364, 'answer_id': 40975337}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1507117371, 'answer_id': 46563969}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1459017022, 'answer_id': 36239172}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': True, 'score': 1, 'creation_date': 1459017722, 'answer_id': 36239302}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1476029420, 'answer_id': 39945689}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1505450814, 'answer_id': 46231858}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1459018981, 'answer_id': 36239584}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1459164573, 'answer_id': 36261419}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1459171791, 'answer_id': 36263397}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': True, 'score': 0, 'creation_date': 1459589369, 'answer_id': 36371521}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1459660758, 'answer_id': 36381889}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1459661346, 'answer_id': 36381940}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1459961988, 'answer_id': 36457646}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1476253916, 'answer_id': 39991891}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1500134049, 'answer_id': 45120073}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1526904283, 'answer_id': 50448522}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 2, 'up_vote_count': 0, 'is_accepted': False, 'score': -2, 'creation_date': 1459331257, 'answer_id': 36305173}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9930}"
5,8648710,"{'items': [{'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 7, 'is_accepted': True, 'score': 7, 'creation_date': 1587045403, 'answer_id': 61252082}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 3, 'is_accepted': True, 'score': 3, 'creation_date': 1587897020, 'answer_id': 61439216}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 3, 'is_accepted': True, 'score': 3, 'creation_date': 1616619037, 'answer_id': 66789185}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': True, 'score': 1, 'creation_date': 1587033959, 'answer_id': 61248347}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1587289778, 'answer_id': 61302392}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1587292159, 'answer_id': 61302871}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 1, 'up_vote_count': 2, 'is_accepted': False, 'score': 1, 'creation_date': 1587642730, 'answer_id': 61386582}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1618152700, 'answer_id': 67046412}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1570020950, 'answer_id': 58201974}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1586964025, 'answer_id': 61232366}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 1, 'up_vote_count': 0, 'is_accepted': True, 'score': -1, 'creation_date': 1572803076, 'answer_id': 58682913}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9930}"
6,14290952,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9930}"
7,10541065,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9930}"
8,12869645,"{'items': [{'owner': {'reputation': 61, 'user_id': 12869645}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1629148696, 'answer_id': 68809331}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9930}"
9,6770703,"{'items': [{'owner': {'reputation': 791, 'user_id': 6770703, 'accept_rate': 86}, 'down_vote_count': 0, 'up_vote_count': 3, 'is_accepted': True, 'score': 3, 'creation_date': 1486831437, 'answer_id': 42178448}, {'owner': {'reputation': 791, 'user_id': 6770703, 'accept_rate': 86}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1486735438, 'answer_id': 42161303}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 9925}"
