question_contains_api,question_score,question_favorites,question_views,question_user_rep,question_age,question_answer_count,question_user_accept_rate,question_user_is_reg,question_contains_code,question_edited,question_size,answer_score,answer_age,answer_question_time_dff,answer_user_reputation,answer_user_accept_rate,answer_user_is_reg,answer_contains_code,answer_accepted_or_edit,answer_rank,answer_size,sent_codeblock,sent_total_tokens,sent_position,sent_api_position,sent_start_islower,sent_code_char_count,sent_contains_html_tags,sent_tagged_token_percent,sent_max_cosine,sent_avg_cosine,sentence,sent_pos,isMeaningful
True,121,0,66739,28560,5648,13,83,True,True,True,88,4,5648,0,14553,67,True,False,False,6,24,False,24,0,0,False,0,False,0.0,0.8169602,0.65304965,<p>I think the though was to make sure you  as the programmer  know that your object my be serialized.</p>,"NN PRP VBP DT RB VBD TO VB JJ PRP , IN DT NN , VBP IN PRP$ NN PRP$ VB VBN . NN",no
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,58,4090,1605,2886,80,True,True,True,10,665,False,12,51,0,False,10,True,16.66666667,0.6741003,0.58406144,<code>LinkedList</code> is implemented as a double linked list.,-LRB- NN NN -RRB- VBZ VBN IN DT JJ VBN NN .,yes
True,372,0,1174397,29019,5704,14,62,True,True,True,280,19,5704,0,26609,96,True,False,True,5,52,False,14,190,0,False,0,True,7.142857143,0.26480576,0.16181162,<p><a href= http://java.net/projects/swingx/downloads  rel= noreferrer >,-LRB- NN -LRB- NN NN SYM `` FW    NN `` NN    -RRB-,no
True,121,0,66739,28560,5648,13,83,True,True,True,88,23,5648,0,410053,70,True,False,False,3,41,False,7,0,0,False,0,False,0.0,0.5771769,0.4377367,<p>Not everything is genuinely serializable.,NN RB NN VBZ RB JJ .,yes
True,613,0,424372,6215,5577,9,0,True,True,True,303,1,2427,3150,62019,81,True,False,False,8,114,False,16,365,0,False,0,False,0.0,0.76408446,0.61935115,<p>Also when using EnumMap there should be no collisions which can be more efficient.,NN RB WRB VBG NNP EX MD VB DT NNS WDT MD VB RBR JJ .,yes
True,1289,0,1359746,18486,5170,29,79,True,True,True,138,10,2957,2213,3068,59,True,True,True,10,197,False,16,0,0,False,0,False,0.0,0.56851625,0.391677,<p>Best easy way with JAVA 8 is for English Alphabetic sort</p>,-LRB- NN JJS JJ NN IN NNP CD VBZ IN JJ JJ NN SYM NN -RRB-,no
True,4739,0,2696520,48251,5702,66,100,True,True,True,129,188,3226,2475,99253,100,True,True,True,7,73,False,10,258,0,True,12,True,10.0,0.59976614,0.16572767,https://docs.oracle.com/javase/9/docs/api/java/io/InputStream.html#readAllBytes--  rel= noreferrer ><code>readAllBytes</code></a>,ADD `` NN NN    -LRB- NNP NN -RRB- -RRB-,no
True,294,0,131128,0,5538,12,0,False,True,True,43,2,2456,3082,614,0,True,True,True,9,418,False,65,2080,0,True,0,False,1.538461538,0.5672676,0.073383085,private void readObject(java.io.ObjectInputStream Instream) throws IOException  ClassNotFoundException { System.out.println( from readObject() ); name = (String) stream.readUTF(); age = stream.readInt(); salary = (BigDecimal) stream.readObject(); address = (Address) stream.readObject(); // validateTestInfo(); } </code></pre>,"JJ NN NN -LRB- NN NNP NNP -RRB- VBZ NNP , NNP -LRB- NNP -LRB- `` IN NNP -LRB- -RRB-    -RRB- : NN SYM -LRB- NN -RRB- NN -LRB- -RRB- : NN SYM NN -LRB- -RRB- : NN SYM -LRB- NN -RRB- NN -LRB- -RRB- : NN SYM -LRB- NN -RRB- NN -LRB- -RRB- : NFP NN -RRB- : NN NFP NN NN -RRB-",no
True,1902,0,223301,21103,4139,14,45,True,True,True,128,261,4138,1,3443,0,True,True,True,3,490,False,86,610,0,False,12,True,2.325581395,0.64941156,0.35721794,The probability of obtaining that symbol  <code>P(X = α)</code>  and its information content  <code>I(α)</code>  are given by:</p> <blockquote> <p>P(X = α) = 1/ Σ   = 1/27</p> <p>I(α) = -log₂[P(X = α)] = -log₂(1/27) = log₂(27)</p> </blockquote> <p>,"DT NN IN VBG DT NN , -LRB- NN -RRB- NN NN SYM NN , NN , CC PRP VBZ NN NN , -LRB- NN -RRB- PRP -LRB- NN -RRB- SYM NN , VBP VBN IN CD NN -LRB- ADD -RRB- -LRB- NN NN SYM CD SYM CD , NN NFP NFP SYM NN -LRB- NN -LRB- NN -RRB- SYM , NN -LRB- NN NN SYM NN -RRB- -RRB- SYM , NN -LRB- CD -RRB- SYM NN -LRB- CD -RRB- NFP NFP NN -RRB- -LRB- NN -RRB-",no
True,1289,0,1359746,18486,5170,29,79,True,True,True,138,1724,5170,0,190899,75,False,True,True,1,508,False,8,2634,0,False,0,False,0.0,0.6756452,0.53946346,All of these are equivalent forms.</p>,DT IN DT VBP JJ NNS . NN,no
True,1902,0,223301,21103,4139,14,45,True,True,True,128,13,4135,4,5304,0,True,True,True,10,174,False,13,71,0,False,0,False,0.0,0.6778998,0.5390094,Denis Tulskiy</a> s answer  this method generates the seed.</p>,"NNP NNP SYM NNP POS NN , DT NN VBZ DT NN NN -RRB-",no
True,2,0,754,401,3947,1,0,True,True,False,393,2,3947,0,346315,60,True,True,True,1,233,False,23,895,0,False,18,True,17.39130435,0.45567322,0.31764394,<p>Equally  you could use a <code>SwingWorker</code> and <code>publish</code>,"-LRB- NN RB , PRP MD VB DT -LRB- NN -RRB- NN -LRB- , NN -RRB- CC -LRB- NN -LRB- , NN -RRB-",no
True,108,0,98433,48677,4138,6,72,True,True,True,235,0,2902,1235,304,0,True,True,False,6,52,False,10,56,0,False,0,False,0.0,0.8443501,0.6834336,Use the connection to perform any database query.</p>,VB DT NN TO VB DT NN NN . -RRB-,yes
True,294,0,131128,0,5538,12,0,False,True,True,43,41,4122,1416,14190,62,True,True,True,2,733,False,27,1324,0,True,0,False,0.0,0.73774827,0.30472732,public MyExternalizable(String userName  String passWord  Integer roll) { this.userName = userName; this.passWord = passWord; this.roll = roll; },"JJ NN -LRB- NN NN , NN NN , NN NN -RRB- NFP NN SYM NN : NN SYM NN : DT NN SYM NN : SYM",no
True,121,0,66739,28560,5648,13,83,True,True,True,88,13,5648,0,89279,74,True,False,False,4,137,False,13,109,0,False,0,False,7.692307692,0.905895,0.76434606,Serialization is a very dangerous mechanism  especially in its default implementation.,"NN VBZ DT RB JJ NN , RB IN PRP$ NN NN .",yes
True,613,0,424372,6215,5577,9,0,True,True,True,303,8,2253,3324,81,0,True,True,True,4,181,False,15,210,0,False,0,False,0.0,0.33965495,0.30673096,LinkedHashMap contains values based on the key.</p> </li> <li><p>,NNP VBZ NNS VBN IN DT NN -LRB- NNP -RRB- -LRB- NNP -RRB- -LRB- NN,yes
True,108,0,98433,48677,4138,6,72,True,True,True,235,6,705,3432,325496,58,True,True,True,3,1692,False,11,8103,0,False,13,True,18.18181818,0.5398793,0.3668114,Your app code then calls <code>getConnection</code>,"PRP$ NN NN RB VBZ -LRB- NN -LRB- , NN -RRB-",no
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,3869,5696,0,15244,100,True,True,True,1,1832,False,26,6483,41,False,9,True,7.692307692,0.7088552,0.5527298,The default initial capacity of an <code>ArrayList</code> is pretty small (10 from Java 1.4 - 1.8).,"DT NN JJ NN IN DT -LRB- NN -RRB- NN -LRB- , NN -RRB- VBZ RB JJ -LRB- CD IN NNP CD SYM CD -RRB- .",yes
True,294,0,131128,0,5538,12,0,False,True,True,43,9,2358,3180,9452,92,True,True,False,5,1650,False,7,2563,0,True,8,True,0.0,0.7571449,0.62521416,then result s in conflict as  <code>java.io.,RB NN VBZ IN NN IN -LRB- ADD,no
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,3869,5696,0,15244,100,True,True,True,1,1832,False,30,2081,0,False,30,True,10.0,0.42587897,0.27234334,One of the main benefits of</strong> <code>LinkedList&lt;E&gt;</code></li> <li><code>Iterator.remove()</code> is <em>O(1)</em>. <strong>,"CD IN DT JJ NNS IN SYM JJ -RRB- -LRB- NNP : NNP -RRB- -LRB- NFP -LRB- ADD -RRB- , NN -RRB- VBZ NN -RRB- NN NFP -LRB- JJ -RRB-",yes
True,34,0,9152,10265,5008,3,96,True,True,True,1293,5,5006,1,1579,91,True,True,False,3,90,False,14,136,0,False,10,True,14.28571429,0.52443194,0.4865675,That method would look at the <code>Permission</code>,"DT NN MD VB IN DT -LRB- NN -RRB- NN -LRB- , NN -RRB-",no
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,3869,5696,0,15244,100,True,True,True,1,1832,False,14,5136,0,False,10,True,21.42857143,0.69822836,0.55153435,The main benefits of using a <code>LinkedList</code> arise when you re-use existing iterators to insert and remove elements.,"DT JJ NNS IN VBG DT -LRB- NN -RRB- NN -LRB- , NN -RRB- VB WRB PRP VBP VBG NNS TO VB CC VB NNS .",yes
True,294,0,131128,0,5538,12,0,False,True,True,43,9,2358,3180,9452,92,True,True,False,5,1650,False,19,1507,0,False,0,False,0.0,1.0,0.81154245,The serialization interface has no methods or fields and serves only to identify the semantics of being serializable.,DT NN NN VBZ DT NNS CC NNS CC VBZ RB TO VB DT NN IN VBG JJ .,yes
True,3620,0,1387883,39488,5696,34,73,True,True,True,112,3869,5696,0,15244,100,True,True,True,1,1832,False,122,810,0,False,78,True,6.557377049,0.5092214,0.30269793,As with standard linked list and array operations  the various methods will have different algorithmic runtimes.</p> <p>For <a href= https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/util/LinkedList.html  rel= noreferrer ><code>LinkedList&lt;E&gt;</code></a></p> <ul> <li><code>get(int index)</code> is <em>O(n)</em> (with <em>n/4</em> steps on average)  but <em>O(1)</em> when <code>index = 0</code> or <code>index = list.size() - 1</code> (in this case  you can also use <code>getFirst()</code> and <code>getLast()</code>).,"IN IN JJ VBN NN CC NN NNS , DT JJ NNS MD VB JJ JJ NNS . -LRB- NN IN -LRB- NN NN SYM `` ADD    FW SYM `` NN    , NNP : NNP -LRB- FW -RRB- -LRB- NNP -RRB- -LRB- FW SYM NN -RRB- SYM NN -RRB- VBZ -LRB- NN -LRB- NN -RRB- -LRB- PRP -RRB- -LRB- IN -LRB- NN -RRB- NNS IN NN -RRB- , CC -LRB- NN NN -RRB- -LRB- PRP -RRB- WRB -LRB- NN SYM NN NN -RRB- CC -LRB- NN SYM NN -RRB- : CD NFP NN -RRB- -LRB- IN DT NN , PRP MD RB VB -LRB- NN -LRB- -RRB- , NN -RRB- CC -LRB- NN -LRB- -RRB- , NN -RRB- -RRB- .",yes
True,613,0,424372,6215,5577,9,0,True,True,True,303,20,5057,519,1677,0,True,False,True,3,199,False,26,537,0,False,0,True,3.846153846,0.34802735,0.26495683,This <a href= http://google.github.io/guava/releases/snapshot/api/docs/com/google/common/collect/ImmutableMap.html  rel= noreferrer >ImmutableMap</a> has O(1) performance for containsKey  get.,"DT -LRB- DT NN SYM `` ADD    NN `` NN    -RRB- JJ NNP VBZ NN -LRB- LS -RRB- NN IN NNP , VB .",no
True,294,0,131128,0,5538,12,0,False,True,True,43,9,2358,3180,9452,92,True,True,False,5,1650,False,26,3810,0,False,0,False,3.846153846,0.8448607,0.710147,As a programmer take care of Serialization So  here transient keyword will not restrict any object in Serialization process.</li> <li>,"IN DT NN VB NN IN NN RB , RB JJ NN MD RB VB DT NN IN NN NN -LRB- NNP -RRB- -LRB- NNP -RRB-",yes
