,user_id,response
0,985088,"{'items': [{'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 4, 'is_accepted': True, 'score': 4, 'creation_date': 1555485991, 'answer_id': 55722117}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1495839576, 'answer_id': 44211182}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1607206975, 'answer_id': 65162595}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1481682329, 'answer_id': 41133812}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': True, 'score': 0, 'creation_date': 1496726511, 'answer_id': 44381902}, {'owner': {'reputation': 4565, 'user_id': 985088, 'accept_rate': 90}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': True, 'score': 0, 'creation_date': 1555385037, 'answer_id': 55700106}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7804}"
1,1538049,"{'items': [{'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 7, 'is_accepted': True, 'score': 7, 'creation_date': 1481800399, 'answer_id': 41162764}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 4, 'is_accepted': True, 'score': 4, 'creation_date': 1525152059, 'answer_id': 50111676}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1500800205, 'answer_id': 45263297}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': False, 'score': 2, 'creation_date': 1527749787, 'answer_id': 50618407}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1494870985, 'answer_id': 43985925}, {'owner': {'reputation': 3579, 'user_id': 1538049, 'accept_rate': 94}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1576084586, 'answer_id': 59290915}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7804}"
2,11626498,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7804}"
3,9560068,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7801}"
4,3760132,"{'items': [{'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 16, 'is_accepted': True, 'score': 16, 'creation_date': 1500102485, 'answer_id': 45115503}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1507117371, 'answer_id': 46563969}, {'owner': {'reputation': 1821, 'user_id': 3760132, 'accept_rate': 85}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1526904283, 'answer_id': 50448522}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7801}"
5,8648710,"{'items': [{'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 28, 'is_accepted': True, 'score': 28, 'creation_date': 1585654047, 'answer_id': 60949494}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 7, 'is_accepted': True, 'score': 7, 'creation_date': 1587045403, 'answer_id': 61252082}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 3, 'is_accepted': True, 'score': 3, 'creation_date': 1587897020, 'answer_id': 61439216}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 3, 'is_accepted': True, 'score': 3, 'creation_date': 1616619037, 'answer_id': 66789185}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1607881796, 'answer_id': 65278783}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1570021513, 'answer_id': 58202141}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': True, 'score': 1, 'creation_date': 1587033959, 'answer_id': 61248347}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1618152700, 'answer_id': 67046412}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1586964025, 'answer_id': 61232366}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1610214641, 'answer_id': 65645787}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1617147781, 'answer_id': 66879814}, {'owner': {'reputation': 1158, 'user_id': 8648710}, 'down_vote_count': 1, 'up_vote_count': 0, 'is_accepted': True, 'score': -1, 'creation_date': 1572803076, 'answer_id': 58682913}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7801}"
6,14290952,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7801}"
7,10541065,"{'items': [], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7801}"
8,12869645,"{'items': [{'owner': {'reputation': 61, 'user_id': 12869645}, 'down_vote_count': 0, 'up_vote_count': 1, 'is_accepted': False, 'score': 1, 'creation_date': 1629148696, 'answer_id': 68809331}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7796}"
9,6770703,"{'items': [{'owner': {'reputation': 791, 'user_id': 6770703, 'accept_rate': 86}, 'down_vote_count': 0, 'up_vote_count': 19, 'is_accepted': True, 'score': 19, 'creation_date': 1486920252, 'answer_id': 42190780}, {'owner': {'reputation': 791, 'user_id': 6770703, 'accept_rate': 86}, 'down_vote_count': 0, 'up_vote_count': 13, 'is_accepted': True, 'score': 13, 'creation_date': 1486738976, 'answer_id': 42162483}, {'owner': {'reputation': 791, 'user_id': 6770703, 'accept_rate': 86}, 'down_vote_count': 0, 'up_vote_count': 3, 'is_accepted': True, 'score': 3, 'creation_date': 1486831437, 'answer_id': 42178448}, {'owner': {'reputation': 791, 'user_id': 6770703, 'accept_rate': 86}, 'down_vote_count': 0, 'up_vote_count': 2, 'is_accepted': True, 'score': 2, 'creation_date': 1486735438, 'answer_id': 42161303}, {'owner': {'reputation': 791, 'user_id': 6770703, 'accept_rate': 86}, 'down_vote_count': 0, 'up_vote_count': 0, 'is_accepted': False, 'score': 0, 'creation_date': 1486736272, 'answer_id': 42161575}], 'has_more': False, 'quota_max': 10000, 'quota_remaining': 7796}"
