question_contains_api,question_score,question_favorites,question_views,question_user_rep,question_age,question_answer_count,question_user_accept_rate,question_user_is_reg,question_contains_code,question_edited,question_size,answers,answer_score,answer_age,answer_question_time_dff,answer_user_reputation,answer_user_accept_rate,answer_user_is_reg,answer_contains_code,answer_accepted_or_edit,answer_rank,answer_size,sent_codeblock,sent_total_tokens,sent_position,sent_api_position,sent_start_islower,sent_code_char_count,sent_contains_html_tags,sent_tagged_token_percent,sent_max_cosine,sent_avg_cosine,sentence,sent_pos,isMeaningful
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,47,81,0,False,0,False,6.382978723404255,0.79194415,0.79194415,"<p>When some method attempts to perform a privileged action (for example, open a file on the file system or open a network socket), each class on the call stack is checked to determine if it has the appropriate permissions.</p>","NN WRB DT NN NNS TO VB DT JJ NN -LRB- IN NN , VB DT NN IN DT NN NN CC VB DT NN NN -RRB- , DT NN IN DT NN NN VBZ VBN TO VB IN PRP VBZ DT JJ NNS -LRB- NN -RRB-",yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,15,310,0,False,0,False,0.0,0.60323656,0.60323656,<p>Permissions are granted to classes in one of two ways:</p>,-LRB- NN NNS VBP VBN IN NNS IN CD IN CD NNS -LRB- NN -RRB-,yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,17,373,0,False,0,False,0.0,0.26039252,0.26039252,"<ol>
<li>Statically, when the class is defined.</li>
<li>","-LRB- NN -RRB- -LRB- SYM FW , WRB DT NN VBZ VBN -LRB- NNP -RRB- -LRB- NFP",no
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,28,430,0,False,0,False,3.571428571428571,0.7835645,0.7835645,"Dynamically, based on the current security policy (but only if the class is defined to have a dynamic policy).</li>
</ol>","RB , VBN IN DT JJ NN NN -LRB- CC RB IN DT NN VBZ VBN TO VB DT JJ NN -RRB- -LRB- NNP -RRB- -LRB- NN -RRB-",no
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,16,553,0,False,0,False,0.0,0.7486841,0.7486841,"<p>In both cases, the permissions are granted via the ProtectionDomain passed to ClassLoader.","NN IN DT NNS , DT NNS VBP VBN IN DT NNP VBD IN NNP .",yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,2,646,0,True,0,False,0.0,0.41362715,0.41362715,defineClass.,NN .,yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,54,659,0,False,0,False,7.4074074074074066,0.83701885,0.83701885,"A ProtectionDomain has two pieces: the permissions statically granted to the class, and the ""code source"" (the location where the classes are loaded from, typically a JAR or directory) or ""code signers"" (classes guaranteed to have been come from a specific source).","DT NNP VBZ CD NNS : DT NNS NN VBN IN DT NN , CC DT `` NN NN '' -LRB- DT NN WRB DT NNS VBP VBN IN , RB DT NN CC NN -RRB- CC `` NN NNS '' -LRB- NNS VBN TO VB VBN VBN IN DT JJ NN -RRB- .",yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,58,926,0,False,0,False,5.172413793103448,0.8371079,0.8371079,"The code source (or signers) is dynamically matched against the current security policy to determine if additional permissions should be granted (for example, ""classes loaded from this specific JAR can read files from this specific directory) if the class loader creates a protection domain that allows a dynamic security policy.</p>","DT NN NN -LRB- CC NNS -RRB- VBZ RB VBN IN DT JJ NN NN TO VB IN JJ NNS MD VB VBN -LRB- IN NN , `` NNS VBN IN DT JJ NN MD VB NNS IN DT JJ NN -RRB- IN DT NN NN VBZ DT NN NN WDT VBZ DT JJ NN NN . NN",yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,53,1261,3,False,0,False,5.660377358490567,0.7502892,0.7502892,"<p>SecureClassLoader has a utility defineClass method that takes a CodeSource, and it maintains a cache of lazily created ProtectionDomain for each CodeSource (allowing your subclass to override getPermissions if you want to define static permissions) so that your ClassLoader only has to remember CodeSource rather than ProtectionDomain.","-LRB- NN NNP VBZ DT NN NN NN WDT VBZ DT NN , CC PRP VBZ DT NN IN RB VBN NN IN DT NN -LRB- VBG PRP$ NN TO VB NNS IN PRP VBP TO VB JJ NNS -RRB- IN IN PRP$ NN RB VBZ TO VB NNP RB IN NNP .",yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],5,2662,8,33876,0,True,False,True,1,338,False,31,1601,0,False,0,False,3.225806451612903,0.7835048,0.7835048,"In practice, most ClassLoader implementations have a predefined classpath, so they can easily create and store the ProtectionDomain themselves, so the class itself isn't particularly useful.</p>","IN NN , JJS NN NNS VBP DT JJ NN , RB PRP MD RB VB CC VB DT NNP PRP , RB DT NN PRP VBZ RB RB JJ . -RRB-",yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],1,2671,0,1418,0,True,False,False,2,91,False,16,0,0,False,0,True,6.25,0.271772,0.271772,"<p>From <a href=""http://www.securingjava.com/chapter-two/chapter-two-7.html"" rel=""nofollow noreferrer"">http://www.securingjava.com/chapter-two/chapter-two-7.html</a>:</p>",-LRB- NN IN -LRB- `` NN SYM `` ADD '' NN `` NN NN '' ADD,no
True,1,0,2408,412,2671,2,100,True,True,True,102,[],1,2671,0,1418,0,True,False,False,2,91,False,5,172,0,False,0,False,0.0,0.11137842,0.11137842,"<blockquote>
  <p>",-LRB- NN -RRB- -LRB- NN,no
True,1,0,2408,412,2671,2,100,True,True,True,102,[],1,2671,0,1418,0,True,False,False,2,91,False,18,190,0,False,0,False,0.0,0.79098755,0.79098755,Secure Class Loaders allow classes to be loaded only from those directories specified in Java's java.app.class.path property.,JJ NN NNS VBP NNS TO VB VBN RB IN DT NNS VBN IN NNP POS NNP NN .,yes
True,1,0,2408,412,2671,2,100,True,True,True,102,[],1,2671,0,1418,0,True,False,False,2,91,False,14,316,0,False,0,False,0.0,0.8713007,0.8713007,Secure Class Loaders can only be used by classes found in the java.,NNP NNP NNS MD RB VB VBN IN NNS VBN IN DT NN .,yes
